name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
armada acquisition corp i wt,AACIW,0.1200,"0.1200,0.1200",0.1200,0.0200 x 800,None,0.0600 , 0.1200,0.0600 , 0.1200,8311,N/A,N/A,N/A,N/A,N/A,N/A ,None
armada acquisition corp i,AACIU,9.95,"9.95,9.95",9.95,9.95 x 800,None,9.95 , 10.00,9.82 , 10.53,3,804,N/A,N/A,N/A,-0.20,N/A ,None
ata creativity global adr,AACG,1.7419,"1.9500,1.9500",1.8000,1.8100 x 800,None,1.7000 , 1.8800,0.8800 , 2.9400,13639,36532,54.655M,1.14,N/A,-0.1530,N/A ,None
armada acquisition corp i,AACI,9.95,"9.95,9.95",9.97,9.95 x 1000,None,9.95 , 9.98,9.34 , 10.10,11232,5373,206.06M,N/A,N/A,-0.20,N/A ,None
atlantic amer cp,AAME,2.8400,"2.8300,2.8300",3.0200,2.8200 x 1100,None,2.8400 , 2.9300,2.1200 , 4.5500,373,5784,57.932M,0.30,21.85,0.1300,0.02 ,0.67
advisorshares dorsey wright etf,AADR,46.62,"46.68,46.68",47.34,46.56 x 800,None,46.21 , 46.62,43.35 , 66.29,196,1853,35.18M,47.54,N/A,3.28%,None,None
aadi biosciences inc,AADI,12.73,"12.44,12.44",12.24,12.75 x 900,None,12.24 , 12.77,11.00 , 32.50,15706,117615,310.55M,N/A,N/A,-8.81,N/A ,None
american airlines gp,AAL,13.69,"13.58,13.58",13.36,13.72 x 3100,None,13.20 , 13.76,11.65 , 22.35,9725076,31929320,8.9B,1.45,N/A,-3.67,N/A ,None
aaon inc,AAON,63.89,"63.32,63.32",62.37,63.73 x 1800,None,62.19 , 63.95,47.50 , 83.79,13154,142893,3.396B,0.70,62.03,1.03,0.38 ,0.58
graniteshares 1.75x long aapl daily etf,AAPB,18.04,"19.28,19.28",18.51,18.32 x 800,None,18.04 , 18.58,17.03 , 27.92,1354,4720,N/A,N/A,N/A,N/A,None,None
direxion daily aapl bear 1x shares,AAPD,28.46,"27.69,27.69",28.26,28.38 x 4000,None,28.11 , 28.72,23.40 , 30.17,147850,119578,8.09M,26.67,N/A,N/A,None,None
apple inc,AAPL,140.57,"145.03,145.03",142.06,141.28 x 1100,None,139.36 , 142.79,129.04 , 182.94,37365146,84780507,2.237T,1.25,23.01,6.11,0.92 ,0.63
direxion daily aapl bull 1.5x shares,AAPU,19.22,"20.11,20.11",19.49,19.29 x 2900,None,18.92 , 19.57,18.08 , 27.56,40544,52404,6.61M,21.29,N/A,N/A,None,None
autoscope technologies corp,AATC,4.3200,"4.3700,4.3700",4.2800,4.2000 x 2900,None,4.2800 , 4.3100,4.1900 , 7.6500,1504,12410,23.323M,0.84,43.20,0.1000,0.48 ,10.97
atlas air ww,AAWW,100.15,"100.90,100.90",100.51,100.01 x 1100,None,99.78 , 100.71,58.70 , 101.62,723643,958120,2.843B,1.16,6.85,14.62,N/A ,None
all country asia ex japan ishares msci etf,AAXJ,56.74,"56.36,56.36",55.98,56.67 x 1000,None,55.98 , 56.82,54.39 , 88.39,134841,791540,2.49B,56.76,N/A,3.19%,None,None
ameris bancorp,ABCB,49.74,"50.80,50.80",50.13,49.87 x 1100,None,49.64 , 50.18,38.22 , 56.64,38148,355281,3.45B,1.14,9.99,4.98,0.60 ,1.16
abcam plc adr,ABCM,14.80,"15.14,15.14",14.57,14.76 x 1300,None,14.48 , 14.82,12.54 , 24.00,72756,224039,3.39B,0.57,185.00,0.08,N/A ,None
abcellera biologics inc,ABCL,12.30,"12.00,12.00",11.84,12.40 x 900,None,11.72 , 12.47,5.42 , 17.70,630851,1833417,3.507B,N/A,18.92,0.65,N/A ,None
abeona therapeutics,ABEO,3.7518,"4.4600,4.4600",4.5000,3.7800 x 1300,None,3.4650 , 4.6000,0.2700 , 26.5000,1823109,388882,22.325M,1.05,0.10,38.6800,N/A ,None
abg acquisition corp i cl a,ABGI,9.97,"9.97,9.97",9.97,9.97 x 1800,None,9.96 , 9.98,9.70 , 9.98,1,27320,192.746M,N/A,N/A,-0.05,N/A ,None
arca biopharma inc,ABIO,2.1100,"2.1200,2.1200",2.1000,2.1000 x 4000,None,2.0900 , 2.1200,1.7100 , 2.6900,8312,30857,30.405M,1.86,N/A,-1.2830,N/A ,None
abiomed inc,ABMD,373.99,"373.51,373.51",373.50,374.15 x 1100,None,373.50 , 375.37,219.85 , 381.99,804629,437917,17.002B,1.31,81.48,4.59,N/A ,None
airbnb inc cl a,ABNB,94.32,"94.41,94.41",94.08,94.44 x 900,None,91.27 , 95.31,86.71 , 212.58,4014949,5924242,60.318B,N/A,45.57,2.07,N/A ,None
acumen pharmaceuticals inc,ABOS,6.97,"6.89,6.89",6.84,6.98 x 800,None,6.84 , 7.05,3.02 , 15.12,69293,1361156,282.307M,N/A,N/A,-2.75,N/A ,None
absci corp,ABSI,3.0600,"2.9200,2.9200",2.8900,3.0400 x 900,None,2.8500 , 3.1150,2.5800 , 18.1200,37015,599160,284.101M,N/A,N/A,-1.7760,N/A ,None
absolute software cp,ABST,11.39,"11.19,11.19",11.02,11.41 x 800,None,11.00 , 11.46,6.79 , 12.59,27892,91634,584.428M,0.66,N/A,-0.46,0.23 ,1.95
abvc biopharma inc,ABVC,0.7710,"0.7120,0.7120",0.7681,0.7320 x 1000,None,0.7681 , 0.8101,0.5000 , 4.2800,14541,84809,25.16M,0.34,N/A,-0.6710,N/A ,None
arbutus biopharma cp,ABUS,2.5850,"2.3400,2.3400",2.4800,2.5900 x 3100,None,2.4100 , 2.6200,1.8500 , 6.5000,1512086,759473,387.623M,2.18,N/A,-0.7050,N/A ,None
atlantic coastal acquisition corp ii cl a,ACAB,10.10,"10.10,10.10",10.07,10.07 x 3200,None,10.08 , 10.10,9.87 , 10.10,311,24875,378.75M,N/A,N/A,N/A,N/A ,None
atlantic coastal acquisition corp ii,ACABU,10.05,"10.05,10.05",10.05,10.05 x 3000,None,10.05 , 10.08,9.56 , 11.99,1,573,N/A,N/A,N/A,N/A,N/A ,None
atlantic coastal acquisition corp ii wt,ACABW,0.0310,"0.0310,0.0310",0.0310,0.0129 x 1100,None,0.0310 , 0.0310,0.0310 , 0.0310,3000,N/A,N/A,N/A,N/A,N/A,N/A ,None
acri capital acquisition corporation cl a,ACAC,10.05,"10.05,10.05",10.06,10.05 x 1000,None,10.05 , 10.05,9.97 , 10.65,3,10908,108.351M,N/A,N/A,N/A,N/A ,None
acri capital acquisition corp,ACACU,10.00,"10.00,10.00",10.00,10.05 x 1000,None,10.00 , 10.00,9.94 , 10.15,200,89,N/A,N/A,N/A,N/A,N/A ,None
acri capital acquisition corporation wt,ACACW,0.0250,"0.0250,0.0250",0.0250,0.0250 x 1200,None,0.0250 , 0.0250,0.0250 , 0.0250,499,N/A,N/A,N/A,N/A,N/A,N/A ,None
acadia pharmaceutica,ACAD,15.08,"15.93,15.93",15.49,15.38 x 1100,None,14.30 , 15.83,12.24 , 28.06,1219363,1542446,2.441B,0.63,N/A,-1.33,N/A ,None
atlantic coastal acquisition corp,ACAHU,9.88,"9.88,9.88",9.88,9.87 x 3000,None,9.88 , 9.88,9.10 , 10.34,100,406,N/A,N/A,N/A,-0.00,N/A ,None
atlantic coastal acquisition corp cl a,ACAH,9.89,"9.89,9.89",9.92,0.00 x 3200,None,9.91 , 9.92,9.70 , 9.95,120,57339,426.939M,N/A,109.89,0.09,N/A ,None
atlantic coastal acquisition corp wt,ACAHW,0.0400,"0.0400,0.0400",N/A,N/A x N/A,None,0.0400 , 0.0437,0.0400 , 0.0437,4458,N/A,N/A,N/A,N/A,N/A,N/A ,None
alset capital acquisition cl a,ACAX,9.89,"9.89,9.89",9.90,0.00 x 28000,None,9.89 , 9.89,9.80 , 10.40,161800,9564,111.312M,N/A,N/A,N/A,N/A ,None
alset capital acquisition right,ACAXR,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
alset capital acquisition corp,ACAXU,10.09,"10.09,10.09",10.09,10.00 x 900,None,10.09 , 10.09,9.94 , 11.19,1,507,N/A,N/A,N/A,N/A,N/A ,None
alset capital acquisition wt,ACAXW,0.0500,"0.0500,0.0500",0.0700,0.0400 x 3000,None,0.0500 , 0.0700,0.0500 , 0.0700,900,N/A,N/A,N/A,N/A,N/A,N/A ,None
aurora cannabis inc,ACB,1.3700,"1.2500,1.2500",1.2100,1.3700 x 900,None,1.2100 , 1.3800,0.9800 , 8.6900,7413763,11745667,412.447M,3.00,N/A,-4.7020,N/A ,None
ace global business acquisition ltd,ACBA,10.54,"10.54,10.54",10.50,10.51 x 3200,None,10.50 , 10.54,10.07 , 10.54,80982,5179,63.809M,N/A,N/A,-0.21,N/A ,None
ace global business acquisition ltd,ACBAU,10.47,"10.47,10.47",10.44,10.51 x 900,None,10.44 , 10.47,9.76 , 10.90,1,123,N/A,N/A,N/A,-0.21,N/A ,None
ace global business acquisition wt,ACBAW,0.0250,"0.0250,0.0250",0.4512,0.4801 x 1100,None,0.0250 , 0.0250,0.0250 , 0.0250,27291,N/A,N/A,N/A,N/A,N/A,N/A ,None
accolade inc,ACCD,10.00,"10.05,10.05",9.84,10.02 x 1400,None,9.70 , 10.09,4.61 , 40.96,155069,647250,719.389M,1.63,N/A,-1.93,N/A ,None
acer therapeutics inc,ACER,1.3097,"1.3200,1.3200",1.2800,1.3000 x 900,None,1.2800 , 1.3680,1.1100 , 3.7700,32520,94156,21.086M,1.28,N/A,-1.3930,N/A ,None
adicet bio inc,ACET,17.73,"17.26,17.26",17.25,17.67 x 800,None,16.51 , 18.00,9.04 , 21.17,353116,540014,709.746M,1.72,N/A,-1.05,N/A ,None
ace convergence acquisition corp cl a,ACEV,10.30,"10.33,10.33",10.28,10.30 x 900,None,10.28 , 10.34,9.63 , 10.43,4689,35343,99.862M,-0.02,3.47,2.97,N/A ,None
ace convergence acquisition corp,ACEVU,10.25,"10.25,10.25",10.25,10.14 x 1400,None,10.25 , 10.25,9.45 , 10.97,150,159,N/A,-0.02,16.30,0.63,N/A ,None
ace convergence acquisition corp wt,ACEVW,0.1000,"0.1000,0.1000",1.2500,1.1800 x 1400,None,0.0900 , 0.1100,0.0900 , 0.1100,273847,N/A,N/A,N/A,N/A,N/A,N/A ,None
arch capital grp ltd,ACGL,56.05,"56.22,56.22",55.87,56.31 x 800,None,55.76 , 56.52,40.24 , 58.00,857924,3353437,20.7B,0.69,16.39,3.42,N/A ,None
arch capital group ltd,ACGLN,17.30,"17.38,17.38",17.34,16.99 x 900,None,17.09 , 17.34,17.09 , 26.08,3702,75859,N/A,0.69,3.69,4.69,1.14 ,6.48
arch capital group ltd adr,ACGLO,19.99,"20.08,20.08",20.04,19.90 x 900,None,19.99 , 20.17,19.99 , 26.24,2943,21346,11.654B,0.69,4.26,4.69,1.36 ,6.66
acadia healthcr company,ACHC,76.97,"77.95,77.95",76.91,76.92 x 1100,None,76.07 , 77.26,50.07 , 86.75,61466,596435,6.992B,N/A,25.83,2.98,N/A ,None
achilles therapeutics plc,ACHL,1.9108,"1.9300,1.9300",1.9400,1.9000 x 1000,None,1.9100 , 1.9414,1.7200 , 7.6700,1577,27898,77.911M,N/A,0.30,6.3500,N/A ,None
achieve life sciences inc,ACHV,2.1500,"2.1600,2.1600",2.2400,2.1400 x 4000,None,2.1100 , 2.2400,2.1100 , 9.0600,9969,46789,20.816M,1.29,N/A,-3.6560,N/A ,None
ac immune s.a.,ACIU,2.9050,"2.8800,2.8800",2.9200,2.9000 x 1800,None,2.8901 , 3.0200,2.0600 , 8.1400,33491,62150,242.316M,N/A,N/A,-0.9990,N/A ,None
arcellx inc,ACLX,23.97,"22.52,22.52",22.42,23.89 x 800,None,22.22 , 24.05,6.03 , 26.91,234768,488217,1.05B,N/A,N/A,-15.50,N/A ,None
aci worldwide inc,ACIW,21.28,"20.04,20.04",19.91,21.31 x 800,None,19.68 , 21.34,19.68 , 36.01,313309,793257,2.427B,1.10,15.88,1.34,N/A ,None
acm research inc,ACMR,6.23,"6.05,6.05",5.92,6.33 x 1100,None,5.85 , 6.36,5.46 , 37.12,250505,904237,369.08M,0.79,13.54,0.46,N/A ,None
acnb corp,ACNB,35.29,"35.40,35.40",35.47,34.51 x 800,None,34.96 , 35.29,28.00 , 36.78,539,14089,300.643M,0.31,10.17,3.47,1.12 ,3.13
