name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
agilent technologies,A,139.62,"140.89,140.89",140.61,139.78 x 800,None,139.09 , 140.94,112.52 , 165.68,185814,1397826,41.332,1.04,31.88,4.38,0.84 ,0.60
alcoa corp,AA,40.01,"40.88,40.88",40.71,39.90 x 900,None,39.74 , 41.14,33.55 , 98.09,1005948,7305268,7.199,2.38,7.78,5.14,0.40 ,0.97
ares acquisition corp cl a,AAC,9.98,"9.97,9.97",9.97,9.97 x 1100,None,9.97 , 9.98,9.70 , 9.98,1654,326245,1.247,N/A,38.37,0.26,N/A ,None
ares acquisition corp units,AAC.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ares acquisition corp wt,AAC.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
arlington asset investment corp [aaic/pb],AAI-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
arlington asset investment corp,AAIC,2.9500,"3.0100,3.0100",2.9600,2.9300 x 900,None,2.8900 , 2.9500,2.6500 , 3.9000,10158,54992,85.228M,1.47,N/A,-0.2930,N/A ,None
arlington asset investment corp [aaic/pc],AAI-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
arlington asset investment corp 6.000%,AAIN,23.00,"23.44,23.44",23.00,23.00 x 800,None,23.00 , 23.00,22.29 , 25.44,117,671,N/A,N/A,N/A,N/A,N/A ,None
apollo asset management inc [aam/pa],AAM-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
apollo asset management inc [aam/pb],AAM-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aarons holdings company,AAN,9.93,"10.26,10.26",10.19,9.96 x 800,None,9.92 , 10.29,7.64 , 27.42,50993,438646,305.65M,N/A,18.39,0.54,0.45 ,4.39
advance auto parts inc,AAP,193.12,"189.28,189.28",189.21,192.03 x 900,None,188.75 , 193.12,154.46 , 244.55,185185,777007,11.61,1.24,22.38,8.63,6.00 ,3.15
accelerate acquisition corp [aaqc.u],AAQ.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
accelerate acquisition corp wt [aaqc/w],AAQ.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
accelerate acquisition corp cl a,AAQC,9.95,"9.95,9.95",9.94,9.89 x 900,None,9.93 , 9.95,9.68 , 9.95,48752,79228,497M,N/A,19.90,0.50,N/A ,None
american assets trust,AAT,27.80,"28.01,28.01",27.79,27.79 x 1000,None,27.60 , 27.83,24.01 , 40.83,17532,296785,2.133,1.10,40.29,0.69,1.28 ,4.57
alliancebernstein holding lp,AB,37.43,"37.66,37.66",38.28,37.40 x 800,None,37.29 , 37.87,31.31 , 57.30,23264,281581,3.641,1.35,10.06,3.72,3.54 ,9.50
abb ltd adr,ABB,27.97,"28.09,28.09",27.91,27.99 x 1200,None,27.89 , 28.02,24.27 , 39.11,358391,1749592,52.623,1.04,13.64,2.05,0.88 ,3.15
abbvie inc,ABBV,146.34,"146.91,146.91",147.03,146.52 x 800,None,145.43 , 147.06,115.01 , 175.91,856794,5347281,258.744,0.65,19.51,7.50,5.92 ,4.03
amerisourcebergen corp,ABC,156.72,"156.32,156.32",157.37,156.40 x 900,None,155.30 , 157.11,113.68 , 167.19,243129,1033054,32.481,0.50,17.99,8.71,1.84 ,1.15
ambev s.a. adr,ABEV,3.0050,"3.0600,3.0600",3.0200,3.0000 x 21500,None,2.9901 , 3.0250,2.4200 , 3.3200,2265174,29466712,47.304,0.81,20.03,0.1500,0.11 ,3.68
asbury automotive group inc,ABG,162.35,"167.75,167.75",166.36,161.65 x 800,None,161.30 , 166.59,138.88 , 203.92,20159,181932,3.593,1.14,4.89,33.23,N/A ,None
abm industries inc,ABM,45.54,"45.33,45.33",45.17,45.28 x 800,None,45.09 , 45.59,37.68 , 54.00,28014,303021,3.013,1.08,14.32,3.18,0.78 ,1.72
arbor realty trust,ABR,13.61,"13.70,13.70",13.60,13.63 x 1000,None,13.44 , 13.67,11.16 , 19.96,268585,2135718,2.318,1.86,6.67,2.04,1.56 ,11.39
arbor realty trust inc,ABR-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
arbor realty trust inc,ABR-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
arbor realty trust inc,ABR-F,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
abbott laboratories,ABT,99.21,"99.31,99.31",98.73,99.12 x 800,None,98.10 , 99.33,93.25 , 142.60,729936,5610682,173.744,0.71,22.40,4.43,1.88 ,1.89
associated capital group inc,AC,41.45,"41.01,41.01",41.62,40.71 x 900,None,41.45 , 41.53,33.69 , 47.50,919,4123,912.364M,1.13,37.01,1.12,0.20 ,0.49
arcosa inc,ACA,64.19,"64.83,64.83",64.08,63.98 x 800,None,64.02 , 64.48,43.42 , 65.80,12482,193845,3.104,0.49,33.78,1.90,0.20 ,0.31
athena consumer acquisition corp [acaq.u],ACA.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
athena consumer acquisition corp [acaq/w],ACA.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
athena consumer acquisition corp cl a,ACAQ,10.11,"10.10,10.10",10.11,10.10 x 1300,None,10.11 , 10.11,9.85 , 10.26,3600,17520,324.632M,N/A,N/A,N/A,N/A ,None
american campus communities inc,ACC,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
acco brands corp,ACCO,4.6450,"4.6900,4.6900",4.6600,4.6200 x 1800,None,4.6100 , 4.6650,4.2700 , 9.5000,133770,712331,437.842M,1.84,4.11,1.1300,0.30 ,6.40
ascendant digital acquisition corp iii [acdi.u],ACD.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ascendant digital acquisition corp iii wt [acdi/,ACD.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
accel entertainment inc,ACEL,9.90,"10.04,10.04",9.91,9.89 x 1200,None,9.84 , 10.00,7.65 , 14.10,41893,277471,905.203M,1.52,16.49,0.60,N/A ,None
ascendant digital acquisition corp iii cl a,ACDI,10.20,"10.19,10.19",10.20,10.20 x 900,None,10.20 , 10.20,9.80 , 10.40,18940,55326,382.687M,N/A,N/A,-0.73,N/A ,None
aluminum corp of china ltd adr,ACH,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
archer aviation inc wt [achr.w],ACH.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
archer aviation inc,ACHR,2.6550,"2.7300,2.7300",2.9200,2.6800 x 1300,None,2.6250 , 2.7200,2.5000 , 7.8100,256669,1562503,641.294M,N/A,N/A,-1.9900,N/A ,None
albertsons companies inc cl a,ACI,20.58,"20.32,20.32",20.38,20.54 x 800,None,20.32 , 20.59,20.05 , 37.99,999425,5062382,11.014,0.54,7.25,2.84,0.48 ,2.36
atlas crest investment corp ii [acii.u],ACI.S,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
atlas crest investment corp ii wt [acii/w],ACI.T,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
atlas crest investment corp ii cl a,ACII,10.01,"10.01,10.01",10.00,10.00 x 27000,None,10.00 , 10.01,9.65 , 10.02,2742,227131,431.681M,N/A,32.29,0.31,N/A ,None
aecom technology corp,ACM,74.95,"75.73,75.73",75.13,74.89 x 800,None,74.19 , 75.15,60.74 , 79.97,61907,619785,10.467,1.35,29.28,2.56,0.60 ,0.79
accenture plc,ACN,278.60,"281.47,281.47",287.06,278.25 x 900,None,277.98 , 280.42,242.95 , 417.37,298415,2071039,175.682,1.21,26.01,10.71,4.48 ,1.59
aberdeen income credit strategies,ACP,6.47,"6.49,6.49",6.49,6.45 x 1100,None,6.45 , 6.49,6.01 , 11.52,30656,124884,160.326M,1.00,3.09,2.09,1.20 ,18.84
aberdeen income credit strategies fund,ACP-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
acres commercial realty corp,ACR,10.33,"10.68,10.68",10.68,10.05 x 1100,None,10.26 , 10.60,7.78 , 15.92,72,20621,92.296M,1.72,19.49,0.53,N/A ,None
acres commercial realty corp pfd,ACR-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
acropolis infrastructure acquisition [acro.u],ACR.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
acres commercial realty corp,ACR-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
acropolis infrastructure acquisition wt [acro/w],ACR.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
