name,symbol,price,pointChange,percentChange,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,"earningsDate,",forwardDividend,exDividendDate,yieldPercent
Almaden Minerals,AAU,0.2385,+0.0039,+1.66%,0.2346,0.2400,0.2360 x 34100,None,0.2346 , 0.2399,0.2000,0.4900,69011,340823,33.604,1.18,N/A,-0.0150,,N/A,None,N/A
Aptus Collared Income Opportunity ETF,ACIO,None,-0.14%,None,29.71,29.69,29.68 x 3200,None,29.67 , 29.71,27.91,33.93,7061,73298,524.69,29.79,N/A,0.74%,,None,None,None
First Priority Clo Bond ETF,AAA,24.37,0.00,0.00%,24.37,24.29,24.35 x 900,None,24.37 , 24.37,24.03,25.06,1,784,7.27,24.40,N/A,1.80%,,None,None,None
Altisource Asset Management Corp Com,AAMC,18.95,-1.22,-6.06%,20.17,18.16,19.10 x 900,None,18.95 , 19.87,8.65,27.44,4258,4042,33.678,1.38,7.33,2.59,,N/A,None,N/A
Absolute Core Strategy ETF,ABEQ,28.08,-0.08,-0.28%,28.15,28.30,28.05 x 1800,None,28.05 , 28.23,24.86,31.00,30304,15377,80.92,27.97,N/A,0.89%,,None,None,None
American Customer Satisfaction Core Alpha ETF,ACSI,44.37,-0.01,-0.03%,42.63,42.68,44.26 x 1000,None,44.37 , 44.37,40.34,53.69,4,271,68.04,44.38,N/A,0.38%,,None,None,None
GS Physical Gold ETF,AAAU,17.40,+0.05,+0.26%,17.35,17.44,17.38 x 45900,None,17.35 , 17.49,16.06,20.57,2226975,1320393,383.06,17.33,N/A,0.00%,,None,None,None
Leadershares Activist Leaders ETF,ACTV,29.77,-0.17,-0.55%,29.94,30.07,29.72 x 1300,None,29.77 , 29.86,26.46,38.74,4602,11404,82.25,29.85,N/A,0.14%,,None,None,None
Acme United Corp,ACU,23.55,-0.19,-0.80%,23.74,23.76,23.26 x 800,None,23.55 , 24.00,21.11,35.76,4287,7682,83.243,0.92,15.10,1.56,,0.56,"Sep 30, 2022",2.36
Alps Clean Energy ETF,ACES,53.25,-0.03,-0.07%,53.28,53.48,53.24 x 900,None,53.23 , 54.15,42.66,75.58,19022,81260,691.65,53.70,N/A,0.83%,,None,None,None
American Conservative Values ETF,ACVF,30.49,-0.10,-0.34%,30.60,30.72,30.45 x 2200,None,30.49 , 30.55,26.50,35.89,3424,3961,32.4,30.56,N/A,0.87%,,None,None,None
Global Multifactor Ishares Edge MSCI ETF,ACWF,33.22,+0.05,+0.15%,33.17,33.28,33.09 x 1400,None,33.15 , 33.30,29.06,39.58,3934,11096,113.08,32.94,N/A,2.33%,,None,None,None
Global Min Vol Ishares Edge MSCI ETF,ACWV,97.00,+0.09,+0.09%,96.91,96.98,97.11 x 1200,None,96.89 , 97.32,86.42,108.60,32966,190082,4.38,96.83,N/A,2.16%,,None,None,None
Anfield Dynamic Fixed Income ETF,ADFI,None,-0.24%,None,8.40,8.38,8.36 x 1000,None,8.38 , 8.38,7.85,9.70,305,11115,15.57,8.40,N/A,1.34%,,None,None,None
Aptus Drawdown Managed Equity ETF,ADME,None,-0.09%,None,34.83,34.80,34.74 x 3000,None,34.75 , 34.80,32.56,43.67,7614,39922,340.65,34.87,N/A,0.52%,,None,None,None
Ault Disruptive Technologies Corp [Adrt.U],ADR.S,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
Smartetfs Asia Pacific Dividend Builder ETF,ADIV,12.95,0.00,0.00%,12.95,12.61,13.05 x 900,None,12.95 , 12.95,11.22,17.55,6,1036,2.91,12.72,N/A,4.79%,,None,None,None
Ault Disruptive Technologies Corp WT [Adrt/W],ADR.T,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
Adara Acquisition Corp [Adra.U],ADR.U,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
